team,tier,avg_overall,avg_age,age_profile,attack_index,defence_index,style,depth,star_player,star_overall,star_power,narrative
Germany,Elite contender,85.9,28.6,balanced age,78.2,72.0,attack-leaning,moderate depth,J. Kimmich,89.0,galactico-level,"Germany: elite contender (avg top-16 rating 85.9). The squad is balanced age (mean age 28.6) and attack-leaning in skill balance, with moderate depth. Talisman: J. Kimmich (89 ovr), giving galactico-level star power."
France,Elite contender,85.6,27.3,balanced age,79.7,70.8,attack-leaning,moderate depth,K. Mbappé,91.0,galactico-level,"France: elite contender (avg top-16 rating 85.6). The squad is balanced age (mean age 27.3) and attack-leaning in skill balance, with moderate depth. Talisman: K. Mbappé (91 ovr), giving galactico-level star power."
Spain,Elite contender,85.5,30.4,veteran-heavy,74.1,71.5,well-balanced,deep squad,Sergio Ramos,88.0,galactico-level,"Spain: elite contender (avg top-16 rating 85.5). The squad is veteran-heavy (mean age 30.4) and well-balanced in skill balance, with deep squad. Talisman: Sergio Ramos (88 ovr), giving galactico-level star power."
Brazil,Elite contender,85.4,29.9,veteran-heavy,74.8,77.9,well-balanced,moderate depth,Neymar Jr,91.0,galactico-level,"Brazil: elite contender (avg top-16 rating 85.4). The squad is veteran-heavy (mean age 29.9) and well-balanced in skill balance, with moderate depth. Talisman: Neymar Jr (91 ovr), giving galactico-level star power."
England,Elite contender,85.1,26.7,youthful,77.6,70.7,attack-leaning,moderate depth,H. Kane,90.0,galactico-level,"England: elite contender (avg top-16 rating 85.1). The squad is youthful (mean age 26.7) and attack-leaning in skill balance, with moderate depth. Talisman: H. Kane (90 ovr), giving galactico-level star power."
Argentina,Elite contender,84.4,29.0,veteran-heavy,79.6,64.8,attack-leaning,moderate depth,L. Messi,93.0,galactico-level,"Argentina: elite contender (avg top-16 rating 84.4). The squad is veteran-heavy (mean age 29.0) and attack-leaning in skill balance, with moderate depth. Talisman: L. Messi (93 ovr), giving galactico-level star power."
Portugal,Elite contender,84.2,27.6,balanced age,77.6,71.2,attack-leaning,moderate depth,Cristiano Ronaldo,91.0,galactico-level,"Portugal: elite contender (avg top-16 rating 84.2). The squad is balanced age (mean age 27.6) and attack-leaning in skill balance, with moderate depth. Talisman: Cristiano Ronaldo (91 ovr), giving galactico-level star power."
Belgium,Elite contender,83.8,29.7,veteran-heavy,78.1,69.3,attack-leaning,top-heavy,K. De Bruyne,91.0,galactico-level,"Belgium: elite contender (avg top-16 rating 83.8). The squad is veteran-heavy (mean age 29.7) and attack-leaning in skill balance, with top-heavy. Talisman: K. De Bruyne (91 ovr), giving galactico-level star power."
Netherlands,Elite contender,83.0,27.4,balanced age,74.4,73.5,well-balanced,moderate depth,V. van Dijk,89.0,galactico-level,"Netherlands: elite contender (avg top-16 rating 83.0). The squad is balanced age (mean age 27.4) and well-balanced in skill balance, with moderate depth. Talisman: V. van Dijk (89 ovr), giving galactico-level star power."
Uruguay,Strong side,80.9,29.4,veteran-heavy,71.9,72.9,well-balanced,moderate depth,L. Suárez,88.0,galactico-level,"Uruguay: strong side (avg top-16 rating 80.9). The squad is veteran-heavy (mean age 29.4) and well-balanced in skill balance, with moderate depth. Talisman: L. Suárez (88 ovr), giving galactico-level star power."
Croatia,Strong side,80.6,28.2,balanced age,73.7,69.3,attack-leaning,moderate depth,L. Modrić,87.0,marquee,"Croatia: strong side (avg top-16 rating 80.6). The squad is balanced age (mean age 28.2) and attack-leaning in skill balance, with moderate depth. Talisman: L. Modrić (87 ovr), giving marquee star power."
Colombia,Strong side,79.4,29.3,veteran-heavy,74.5,64.9,attack-leaning,moderate depth,J. Cuadrado,83.0,modest,"Colombia: strong side (avg top-16 rating 79.4). The squad is veteran-heavy (mean age 29.3) and attack-leaning in skill balance, with moderate depth. Talisman: J. Cuadrado (83 ovr), giving modest star power."
Morocco,Strong side,79.2,28.8,balanced age,71.5,68.2,well-balanced,moderate depth,A. Hakimi,85.0,marquee,"Morocco: strong side (avg top-16 rating 79.2). The squad is balanced age (mean age 28.8) and well-balanced in skill balance, with moderate depth. Talisman: A. Hakimi (85 ovr), giving marquee star power."
Switzerland,Strong side,79.1,27.2,balanced age,74.1,74.2,well-balanced,moderate depth,R. Freuler,80.0,modest,"Switzerland: strong side (avg top-16 rating 79.1). The squad is balanced age (mean age 27.2) and well-balanced in skill balance, with moderate depth. Talisman: R. Freuler (80 ovr), giving modest star power."
Mexico,Strong side,79.0,30.8,veteran-heavy,74.3,67.7,attack-leaning,moderate depth,C. Vela,83.0,modest,"Mexico: strong side (avg top-16 rating 79.0). The squad is veteran-heavy (mean age 30.8) and attack-leaning in skill balance, with moderate depth. Talisman: C. Vela (83 ovr), giving modest star power."
Austria,Solid outfit,78.9,27.8,balanced age,70.7,72.1,well-balanced,moderate depth,D. Alaba,84.0,marquee,"Austria: solid outfit (avg top-16 rating 78.9). The squad is balanced age (mean age 27.8) and well-balanced in skill balance, with moderate depth. Talisman: D. Alaba (84 ovr), giving marquee star power."
Senegal,Solid outfit,78.8,27.7,balanced age,70.6,69.3,well-balanced,moderate depth,S. Mané,89.0,galactico-level,"Senegal: solid outfit (avg top-16 rating 78.8). The squad is balanced age (mean age 27.7) and well-balanced in skill balance, with moderate depth. Talisman: S. Mané (89 ovr), giving galactico-level star power."
